STATION,TREATMENT,REPLICATE,TIME,TYPE,Nutrients
ST435,C,C1,0,Nitrite,0.085
ST435,C,C2,0,Nitrite,0.076
ST435,C,C3,0,Nitrite,0.089
ST435,C,C4,0,Nitrite,0.084
ST435,C,C5,0,Nitrite,0.108
ST435,IA,IA1,0,Nitrite,0.13
ST435,IA,IA2,0,Nitrite,0.119
ST435,IA,IA3,0,Nitrite,0.079
ST435,IA,IA4,0,Nitrite,0.136
ST435,IA,IA5,0,Nitrite,0.109
ST435,PP,PP1,0,Nitrite,0.097
ST435,PP,PP2,0,Nitrite,0.089
ST435,PP,PP3,0,Nitrite,0.108
ST435,PP,PP4,0,Nitrite,0.101
ST435,PP,PP5,0,Nitrite,0.134
ST435,C,C1,2,Nitrite,0.069
ST435,C,C2,2,Nitrite,0.125
ST435,C,C3,2,Nitrite,0.065
ST435,C,C4,2,Nitrite,0.1
ST435,C,C5,2,Nitrite,0.117
ST435,IA,IA1,2,Nitrite,0.078
ST435,IA,IA2,2,Nitrite,0.072
ST435,IA,IA3,2,Nitrite,0.065
ST435,IA,IA4,2,Nitrite,0.073
ST435,IA,IA5,2,Nitrite,0.08
ST435,PP,PP1,2,Nitrite,0.055
ST435,PP,PP2,2,Nitrite,0.086
ST435,PP,PP3,2,Nitrite,0.088
ST435,PP,PP4,2,Nitrite,0.072
ST435,PP,PP5,2,Nitrite,0.094
ST435,C,C1,4,Nitrite,0.07
ST435,C,C2,4,Nitrite,0.041
ST435,C,C3,4,Nitrite,0.048
ST435,C,C4,4,Nitrite,0.071
ST435,C,C5,4,Nitrite,0.034
ST435,IA,IA1,4,Nitrite,0.058
ST435,IA,IA2,4,Nitrite,0.112
ST435,IA,IA3,4,Nitrite,0.088
ST435,IA,IA4,4,Nitrite,0.094
ST435,IA,IA5,4,Nitrite,0.042
ST435,PP,PP1,4,Nitrite,0.054
ST435,PP,PP2,4,Nitrite,0.055
ST435,PP,PP3,4,Nitrite,0.087
ST435,PP,PP4,4,Nitrite,0.066
ST435,PP,PP5,4,Nitrite,0.09
ST177,C,C1,0,Nitrite,0.076
ST177,C,C2,0,Nitrite,0.102
ST177,C,C3,0,Nitrite,0.065
ST177,C,C4,0,Nitrite,0.085
ST177,C,C5,0,Nitrite,0.096
ST177,IA,IA1,0,Nitrite,0.091
ST177,IA,IA2,0,Nitrite,0.075
ST177,IA,IA3,0,Nitrite,0.077
ST177,IA,IA4,0,Nitrite,0.089
ST177,IA,IA5,0,Nitrite,0.095
ST177,PP,PP1,0,Nitrite,0.092
ST177,PP,PP2,0,Nitrite,0.073
ST177,PP,PP3,0,Nitrite,0.075
ST177,PP,PP4,0,Nitrite,0.091
ST177,PP,PP5,0,Nitrite,0.083
ST177,C,C1,2,Nitrite,0.068
ST177,C,C2,2,Nitrite,0.078
ST177,C,C3,2,Nitrite,0.061
ST177,C,C4,2,Nitrite,0.066
ST177,C,C5,2,Nitrite,0.076
ST177,IA,IA1,2,Nitrite,0.081
ST177,IA,IA2,2,Nitrite,0.054
ST177,IA,IA3,2,Nitrite,0.066
ST177,IA,IA4,2,Nitrite,0.066
ST177,IA,IA5,2,Nitrite,0.061
ST177,PP,PP1,2,Nitrite,0.075
ST177,PP,PP2,2,Nitrite,0.062
ST177,PP,PP3,2,Nitrite,0.062
ST177,PP,PP4,2,Nitrite,0.079
ST177,PP,PP5,2,Nitrite,0.07
ST177,C,C1,4,Nitrite,0.06
ST177,C,C2,4,Nitrite,0.05
ST177,C,C3,4,Nitrite,0.051
ST177,C,C4,4,Nitrite,0.042
ST177,C,C5,4,Nitrite,0.053
ST177,IA,IA1,4,Nitrite,0.098
ST177,IA,IA2,4,Nitrite,0.09
ST177,IA,IA3,4,Nitrite,0.081
ST177,IA,IA4,4,Nitrite,0.081
ST177,IA,IA5,4,Nitrite,0.078
ST177,PP,PP1,4,Nitrite,0.09
ST177,PP,PP2,4,Nitrite,0.092
ST177,PP,PP3,4,Nitrite,0.109
ST177,PP,PP4,4,Nitrite,0.097
ST177,PP,PP5,4,Nitrite,0.103
ST435,C,C1,0,Nitrate,14.637
ST435,C,C2,0,Nitrate,14.129
ST435,C,C3,0,Nitrate,14.342
ST435,C,C4,0,Nitrate,14.231
ST435,C,C5,0,Nitrate,14.235
ST435,IA,IA1,0,Nitrate,14.338
ST435,IA,IA2,0,Nitrate,14.409
ST435,IA,IA3,0,Nitrate,14.252
ST435,IA,IA4,0,Nitrate,14.563
ST435,IA,IA5,0,Nitrate,14.645
ST435,PP,PP1,0,Nitrate,17.713
ST435,PP,PP2,0,Nitrate,19.365
ST435,PP,PP3,0,Nitrate,19.636
ST435,PP,PP4,0,Nitrate,19.126
ST435,PP,PP5,0,Nitrate,19.26
ST435,C,C1,2,Nitrate,15.796
ST435,C,C2,2,Nitrate,15.096
ST435,C,C3,2,Nitrate,15.45
ST435,C,C4,2,Nitrate,15.628
ST435,C,C5,2,Nitrate,15.614
ST435,IA,IA1,2,Nitrate,15.241
ST435,IA,IA2,2,Nitrate,15.454
ST435,IA,IA3,2,Nitrate,14.798
ST435,IA,IA4,2,Nitrate,15.678
ST435,IA,IA5,2,Nitrate,15.72
ST435,PP,PP1,2,Nitrate,21.967
ST435,PP,PP2,2,Nitrate,20.509
ST435,PP,PP3,2,Nitrate,20.497
ST435,PP,PP4,2,Nitrate,21.79
ST435,PP,PP5,2,Nitrate,21.575
ST435,C,C1,4,Nitrate,16.139
ST435,C,C2,4,Nitrate,14.831
ST435,C,C3,4,Nitrate,16.121
ST435,C,C4,4,Nitrate,15.813
ST435,C,C5,4,Nitrate,15.837
ST435,IA,IA1,4,Nitrate,16.088
ST435,IA,IA2,4,Nitrate,16.558
ST435,IA,IA3,4,Nitrate,15.846
ST435,IA,IA4,4,Nitrate,16.774
ST435,IA,IA5,4,Nitrate,17.296
ST435,PP,PP1,4,Nitrate,23.742
ST435,PP,PP2,4,Nitrate,21.839
ST435,PP,PP3,4,Nitrate,21.955
ST435,PP,PP4,4,Nitrate,23.082
ST435,PP,PP5,4,Nitrate,23.352
ST177,C,C1,0,Nitrate,15.539
ST177,C,C2,0,Nitrate,15.364
ST177,C,C3,0,Nitrate,15.308
ST177,C,C4,0,Nitrate,15.421
ST177,C,C5,0,Nitrate,15.141
ST177,IA,IA1,0,Nitrate,15.985
ST177,IA,IA2,0,Nitrate,15.557
ST177,IA,IA3,0,Nitrate,15.488
ST177,IA,IA4,0,Nitrate,15.537
ST177,IA,IA5,0,Nitrate,15.302
ST177,PP,PP1,0,Nitrate,19.534
ST177,PP,PP2,0,Nitrate,19.813
ST177,PP,PP3,0,Nitrate,19.668
ST177,PP,PP4,0,Nitrate,20.319
ST177,PP,PP5,0,Nitrate,19.331
ST177,C,C1,2,Nitrate,15.757
ST177,C,C2,2,Nitrate,14.902
ST177,C,C3,2,Nitrate,14.898
ST177,C,C4,2,Nitrate,14.723
ST177,C,C5,2,Nitrate,15.161
ST177,IA,IA1,2,Nitrate,16.735
ST177,IA,IA2,2,Nitrate,15.005
ST177,IA,IA3,2,Nitrate,15.564
ST177,IA,IA4,2,Nitrate,15.617
ST177,IA,IA5,2,Nitrate,15.339
ST177,PP,PP1,2,Nitrate,21.737
ST177,PP,PP2,2,Nitrate,19.942
ST177,PP,PP3,2,Nitrate,19.482
ST177,PP,PP4,2,Nitrate,19.882
ST177,PP,PP5,2,Nitrate,19.531
ST177,C,C1,4,Nitrate,6.096
ST177,C,C2,4,Nitrate,7.312
ST177,C,C3,4,Nitrate,4.732
ST177,C,C4,4,Nitrate,0.86
ST177,C,C5,4,Nitrate,4.673
ST177,IA,IA1,4,Nitrate,8.657
ST177,IA,IA2,4,Nitrate,6.867
ST177,IA,IA3,4,Nitrate,7.183
ST177,IA,IA4,4,Nitrate,7.55
ST177,IA,IA5,4,Nitrate,2.768
ST177,PP,PP1,4,Nitrate,17.543
ST177,PP,PP2,4,Nitrate,12.376
ST177,PP,PP3,4,Nitrate,13.964
ST177,PP,PP4,4,Nitrate,12.204
ST177,PP,PP5,4,Nitrate,10.713
ST435,C,C1,0,Phosphate,1.130520111
ST435,C,C2,0,Phosphate,1.155789268
ST435,C,C3,0,Phosphate,1.140408042
ST435,C,C4,0,Phosphate,1.228300762
ST435,C,C5,0,Phosphate,1.183255743
ST435,IA,IA1,0,Phosphate,1.267852486
ST435,IA,IA2,0,Phosphate,1.61502873
ST435,IA,IA3,0,Phosphate,1.43924329
ST435,IA,IA4,0,Phosphate,1.640297887
ST435,IA,IA5,0,Phosphate,1.765545013
ST435,PP,PP1,0,Phosphate,1.655679113
ST435,PP,PP2,0,Phosphate,1.969895587
ST435,PP,PP3,0,Phosphate,1.932541181
ST435,PP,PP4,0,Phosphate,1.925949227
ST435,PP,PP5,0,Phosphate,2.013841947
ST435,C,C1,2,Phosphate,1.220610149
ST435,C,C2,2,Phosphate,1.277740417
ST435,C,C3,2,Phosphate,1.240386011
ST435,C,C4,2,Phosphate,1.394198271
ST435,C,C5,2,Phosphate,1.288727007
ST435,IA,IA1,2,Phosphate,1.618324707
ST435,IA,IA2,2,Phosphate,1.643593864
ST435,IA,IA3,2,Phosphate,1.606239458
ST435,IA,IA4,2,Phosphate,1.613930071
ST435,IA,IA5,2,Phosphate,1.715006699
ST435,PP,PP1,2,Phosphate,2.150075663
ST435,PP,PP2,2,Phosphate,1.924850568
ST435,PP,PP3,2,Phosphate,1.898482752
ST435,PP,PP4,2,Phosphate,2.199515318
ST435,PP,PP5,2,Phosphate,2.030321832
ST435,C,C1,4,Phosphate,1.217314172
ST435,C,C2,4,Phosphate,1.305206892
ST435,C,C3,4,Phosphate,1.245879306
ST435,C,C4,4,Phosphate,1.40628352
ST435,C,C5,4,Phosphate,1.282135053
ST435,IA,IA1,4,Phosphate,1.524938692
ST435,IA,IA2,4,Phosphate,1.441440608
ST435,IA,IA3,4,Phosphate,1.476597696
ST435,IA,IA4,4,Phosphate,1.421664746
ST435,IA,IA5,4,Phosphate,1.650185818
ST435,PP,PP1,4,Phosphate,2.085254782
ST435,PP,PP2,4,Phosphate,1.917159955
ST435,PP,PP3,4,Phosphate,1.894088116
ST435,PP,PP4,4,Phosphate,2.137990414
ST435,PP,PP5,4,Phosphate,1.752361105
ST177,C,C1,0,Phosphate,1.566687734
ST177,C,C2,0,Phosphate,1.641396546
ST177,C,C3,0,Phosphate,1.517248079
ST177,C,C4,0,Phosphate,1.575477006
ST177,C,C5,0,Phosphate,1.622719343
ST177,IA,IA1,0,Phosphate,1.914962637
ST177,IA,IA2,0,Phosphate,1.960007656
ST177,IA,IA3,0,Phosphate,1.865522982
ST177,IA,IA4,0,Phosphate,1.886397503
ST177,IA,IA5,0,Phosphate,2.016039265
ST177,PP,PP1,0,Phosphate,2.028124514
ST177,PP,PP2,0,Phosphate,2.199515318
ST177,PP,PP3,0,Phosphate,2.133595778
ST177,PP,PP4,0,Phosphate,2.201712636
ST177,PP,PP5,0,Phosphate,2.152272981
ST177,C,C1,2,Phosphate,1.74686781
ST177,C,C2,2,Phosphate,1.738078538
ST177,C,C3,2,Phosphate,1.607338117
ST177,C,C4,2,Phosphate,1.693033519
ST177,C,C5,2,Phosphate,1.736979879
ST177,IA,IA1,2,Phosphate,1.957810338
ST177,IA,IA2,2,Phosphate,1.808392714
ST177,IA,IA3,2,Phosphate,1.985276813
ST177,IA,IA4,2,Phosphate,1.981980836
ST177,IA,IA5,2,Phosphate,2.166555548
ST177,PP,PP1,2,Phosphate,2.345636965
ST177,PP,PP2,2,Phosphate,2.280816084
ST177,PP,PP3,2,Phosphate,2.183035433
ST177,PP,PP4,2,Phosphate,2.376399417
ST177,PP,PP5,2,Phosphate,2.229179111
ST177,C,C1,4,Phosphate,0.998681031
ST177,C,C2,4,Phosphate,1.193143674
ST177,C,C3,4,Phosphate,0.871236587
ST177,C,C4,4,Phosphate,0.858052679
ST177,C,C5,4,Phosphate,0.910788311
ST177,IA,IA1,4,Phosphate,1.027246165
ST177,IA,IA2,4,Phosphate,1.251372601
ST177,IA,IA3,4,Phosphate,1.240386011
ST177,IA,IA4,4,Phosphate,1.209623559
ST177,IA,IA5,4,Phosphate,0.958030648
ST177,PP,PP1,4,Phosphate,1.847944438
ST177,PP,PP2,4,Phosphate,1.522741374
ST177,PP,PP3,4,Phosphate,1.515050761
ST177,PP,PP4,4,Phosphate,1.586463596
ST177,PP,PP5,4,Phosphate,1.526037351
ST435,C,C1,0,Silicate,16.514534484
ST435,C,C2,0,Silicate,16.772103132
ST435,C,C3,0,Silicate,16.727348296
ST435,C,C4,0,Silicate,17.514668064
ST435,C,C5,0,Silicate,17.898280944
ST435,IA,IA1,0,Silicate,16.69629392
ST435,IA,IA2,0,Silicate,18.309294744
ST435,IA,IA3,0,Silicate,17.226958404
ST435,IA,IA4,0,Silicate,17.949429328
ST435,IA,IA5,0,Silicate,20.001758236
ST435,PP,PP1,0,Silicate,17.34021554
ST435,PP,PP2,0,Silicate,16.575729872
ST435,PP,PP3,0,Silicate,16.494440476
ST435,PP,PP4,0,Silicate,18.754103012
ST435,PP,PP5,0,Silicate,17.816991548
ST435,C,C1,2,Silicate,33.312211808
ST435,C,C2,2,Silicate,31.33751884
ST435,C,C3,2,Silicate,34.463963812
ST435,C,C4,2,Silicate,36.005722244
ST435,C,C5,2,Silicate,36.322659552
ST435,IA,IA1,2,Silicate,32.89937128
ST435,IA,IA2,2,Silicate,39.376948768
ST435,IA,IA3,2,Silicate,39.881125696
ST435,IA,IA4,2,Silicate,36.345493652
ST435,IA,IA5,2,Silicate,44.388577036
ST435,PP,PP1,2,Silicate,36.903559056
ST435,PP,PP2,2,Silicate,32.320298504
ST435,PP,PP3,2,Silicate,30.690857128
ST435,PP,PP4,2,Silicate,37.880858536
ST435,PP,PP5,2,Silicate,36.509899172
ST435,C,C1,4,Silicate,49.031206248
ST435,C,C2,4,Silicate,43.055065596
ST435,C,C3,4,Silicate,49.670561048
ST435,C,C4,4,Silicate,48.950830216
ST435,C,C5,4,Silicate,52.8381074
ST435,IA,IA1,4,Silicate,44.312767824
ST435,IA,IA2,4,Silicate,52.101936016
ST435,IA,IA3,4,Silicate,52.82897376
ST435,IA,IA4,4,Silicate,49.845013572
ST435,IA,IA5,4,Silicate,62.970054252
ST435,PP,PP1,4,Silicate,52.365898212
ST435,PP,PP2,4,Silicate,44.793197288
ST435,PP,PP3,4,Silicate,41.63113112
ST435,PP,PP4,4,Silicate,55.337984668
ST435,PP,PP5,4,Silicate,51.072574788
ST177,C,C1,0,Silicate,33.599921468
ST177,C,C2,0,Silicate,34.227402536
ST177,C,C3,0,Silicate,33.398981388
ST177,C,C4,0,Silicate,35.212922292
ST177,C,C5,0,Silicate,34.06391038
ST177,IA,IA1,0,Silicate,32.681077284
ST177,IA,IA2,0,Silicate,36.617676124
ST177,IA,IA3,0,Silicate,32.052682852
ST177,IA,IA4,0,Silicate,31.02240826
ST177,IA,IA5,0,Silicate,35.723492768
ST177,PP,PP1,0,Silicate,30.194900476
ST177,PP,PP2,0,Silicate,30.034148412
ST177,PP,PP3,0,Silicate,29.87613644
ST177,PP,PP4,0,Silicate,30.441508756
ST177,PP,PP5,0,Silicate,31.276323452
ST177,C,C1,2,Silicate,66.809836508
ST177,C,C2,2,Silicate,62.03568288
ST177,C,C3,2,Silicate,63.445003532
ST177,C,C4,2,Silicate,67.591676092
ST177,C,C5,2,Silicate,63.869717792
ST177,IA,IA1,2,Silicate,65.423349956
ST177,IA,IA2,2,Silicate,80.578798808
ST177,IA,IA3,2,Silicate,68.772655744
ST177,IA,IA4,2,Silicate,68.202716608
ST177,IA,IA5,2,Silicate,66.681965548
ST177,PP,PP1,2,Silicate,63.68887172
ST177,PP,PP2,2,Silicate,59.470043404
ST177,PP,PP3,2,Silicate,58.894624084
ST177,PP,PP4,2,Silicate,62.882371308
ST177,PP,PP5,2,Silicate,66.622596888
ST177,C,C1,4,Silicate,85.831555172
ST177,C,C2,4,Silicate,83.215680676
ST177,C,C3,4,Silicate,87.425375352
ST177,C,C4,4,Silicate,98.103513876
ST177,C,C5,4,Silicate,84.012134084
ST177,IA,IA1,4,Silicate,91.10349218
ST177,IA,IA2,4,Silicate,120.311046172
ST177,IA,IA3,4,Silicate,100.704774548
ST177,IA,IA4,4,Silicate,97.803930484
ST177,IA,IA5,4,Silicate,92.22236308
ST177,PP,PP1,4,Silicate,86.11195792
ST177,PP,PP2,4,Silicate,86.007834424
ST177,PP,PP3,4,Silicate,82.724290844
ST177,PP,PP4,4,Silicate,88.650196476
ST177,PP,PP5,4,Silicate,95.631950892
