STATION,CORE,TREATMENT,TIME,Î”13C,DIC(mg/m2)
ST177,IA1,IA,0,480.1194,25.9868
ST177,IA2,IA,0,5.2960,0.2942
ST177,IA3,IA,0,476.6128,28.9857
ST177,IA4,IA,0,5.0955,0.2696
ST177,IA5,IA,0,503.8985,23.6288
ST177,PP1,PP,0,416.5456,24.9874
ST177,PP2,PP,0,711.5048,56.8756
ST177,PP3,PP,0,5.9869,0.5538
ST177,PP4,PP,0,6.6459,0.4274
ST177,PP5,PP,0,517.9477,33.7896
ST177,IA1,IA,1,74.2655,4.2167
ST177,IA2,IA,1,90.8699,4.8961
ST177,IA3,IA,1,66.5639,3.3118
ST177,IA4,IA,1,78.2339,3.9089
ST177,IA5,IA,1,71.8849,3.5075
ST177,PP1,PP,1,86.7778,5.8150
ST177,PP2,PP,1,64.3367,4.2935
ST177,PP3,PP,1,54.0354,4.4935
ST177,PP4,PP,1,58.9781,4.7986
ST177,PP5,PP,1,57.9503,3.9103
ST177,IA1,IA,2,466.2806,27.0727
ST177,IA2,IA,2,584.1724,31.6444
ST177,IA3,IA,2,476.8944,30.2723
ST177,IA4,IA,2,463.9332,22.5553
ST177,IA5,IA,2,473.0536,31.8628
ST177,PP1,PP,2,277.2278,17.9645
St177,PP2,PP,2,360.4120,35.7469
ST177,PP3,PP,2,586.5549,57.8551
ST177,PP4,PP,2,563.8088,46.2344
ST177,PP5,PP,2,454.7288,34.7853
ST177,IA1,IA,3,558.8942,30.6564
ST177,IA2,IA,3,622.9969,44.4346
ST177,IA3,IA,3,495.1802,32.5232
ST177,IA4,IA,3,636.5353,40.5020
ST177,IA5,IA,3,629.2820,37.7922
ST177,PP1,PP,3,518.7229,39.6769
ST177,PP2,PP,3,606.8415,43.1440
ST177,PP3,PP,3,496.1441,43.4635
ST177,PP4,PP,3,472.6778,50.2431
ST177,PP5,PP,3,509.5870,37.0729
ST177,IA1,IA,4,677.6387,39.0634
ST177,IA2,IA,4,736.1111,47.2722
ST177,IA3,IA,4,666.2843,37.9943
ST177,IA4,IA,4,812.7033,40.6504
ST177,IA5,IA,4,787.2517,54.3212
ST177,PP1,PP,4,732.7273,52.2480
ST177,PP2,PP,4,797.8853,65.9814
ST177,PP3,PP,4,697.4948,61.0949
ST177,PP4,PP,4,777.1841,59.3621
ST177,PP5,PP,4,727.2415,56.7278
ST407,IA1,IA,0,1.0372,0.0621
ST407,IA2,IA,0,610.7222,37.6976
ST407,IA3,IA,0,396.1678,24.7899
ST407,IA4,IA,0,910.8967,53.2650
ST407,IA5,IA,0,79.4906,3.1986
ST407,PP1,PP,0,15.9862,1.1234
ST407,PP2,PP,0,1612.1908,122.2935
ST407,PP3,PP,0,1130.4919,73.5834
ST407,PP4,PP,0,291.3031,20.7745
ST407,PP5,PP,0,957.1530,60.3313
ST407,IA1,IA,1,95.4810,5.6451
ST407,IA2,IA,1,81.3744,4.9037
ST407,IA3,IA,1,94.5019,5.9124
ST407,IA4,IA,1,85.6638,5.1383
ST407,IA5,IA,1,106.1499,4.9736
ST407,PP1,PP,1,258.9590,18.4729
ST407,PP2,PP,1,566.2801,43.5311
ST407,PP3,PP,1,767.5426,57.7415
ST407,PP4,PP,1,407.1973,25.0161
ST407,PP5,PP,1,954.2220,71.1407
ST407,IA1,IA,2,424.0648,27.0139
ST407,IA2,IA,2,548.2245,30.7728
ST407,IA3,IA,2,434.8076,26.9825
ST407,IA4,IA,2,692.8463,34.7573
ST407,IA5,IA,2,690.6167,32.8783
ST407,PP1,PP,2,935.5077,63.2738
ST407,PP2,PP,2,766.0488,52.6695
ST407,PP3,PP,2,851.5020,62.4832
ST407,PP4,PP,2,1073.8805,72.7956
ST407,PP5,PP,2,887.1884,57.0972
ST407,IA1,IA,3,713.5322,42.9162
ST407,IA2,IA,3,728.4670,50.7890
ST407,IA3,IA,3,732.5631,42.9521
ST407,IA4,IA,3,826.8947,41.2950
ST407,IA5,IA,3,1043.9017,47.3196
ST407,PP1,PP,3,971.2111,77.6317
ST407,PP2,PP,3,786.8553,63.8904
ST407,PP3,PP,3,818.3447,67.2852
ST407,PP4,PP,3,970.2112,71.3787
ST407,PP5,PP,3,853.9316,60.4694
ST407,IA1,IA,4,946.3935,61.3141
ST407,IA2,IA,4,998.6235,64.5701
ST407,IA3,IA,4,919.4285,49.5573
ST407,IA4,IA,4,1077.7640,73.8351
ST407,IA5,IA,4,1326.9666,72.8866
ST407,PP1,PP,4,1331.4882,92.8989
ST407,PP2,PP,4,1111.2304,87.8415
ST407,PP3,PP,4,1069.4868,84.2107
ST407,PP4,PP,4,1352.0273,101.8159
ST407,PP5,PP,4,1111.5040,74.9133
ST435,IA1,IA,0,10.5269,0.6598
ST435,IA2,IA,0,21.6416,1.2283
ST435,IA3,IA,0,105.2658,6.8236
ST435,IA4,IA,0,277.2024,13.5566
ST435,IA5,IA,0,332.3320,22.7084
ST435,PP1,PP,0,18.4264,0.7790
ST435,PP2,PP,0,720.5210,31.3168
ST435,PP3,PP,0,892.4910,51.7226
ST435,PP4,PP,0,635.4047,28.8766
ST435,PP5,PP,0,1199.1475,61.8294
ST435,IA1,IA,1,360.6291,24.9056
ST435,IA2,IA,1,171.6439,10.2394
ST435,IA3,IA,1,235.9232,14.0552
ST435,IA4,IA,1,485.3169,31.4233
ST435,IA5,IA,1,210.5211,14.1914
ST435,PP1,PP,1,329.2193,14.5598
ST435,PP2,PP,1,689.6213,35.6366
ST435,PP3,PP,1,361.1648,21.7291
ST435,PP4,PP,1,854.1460,40.2699
ST435,PP5,PP,1,400.7406,18.9530
ST435,IA1,IA,2,422.7855,25.8021
ST435,IA2,IA,2,462.3730,32.5502
ST435,IA3,IA,2,485.3013,33.9325
ST435,IA4,IA,2,602.6794,41.6234
ST435,IA5,IA,2,170.7584,9.7701
ST435,PP1,PP,2,709.8528,37.9832
ST435,PP2,PP,2,677.5300,33.4271
ST435,PP3,PP,2,772.0184,40.5402
ST435,PP4,PP,2,825.3040,34.9076
ST435,PP5,PP,2,280.3043,13.0866
ST435,IA1,IA,3,493.2772,24.9013
ST435,IA2,IA,3,522.6364,33.2992
ST435,IA3,IA,3,542.9863,43.9448
ST435,IA4,IA,3,692.2848,46.7640
ST435,IA5,IA,3,650.9774,44.5053
ST435,PP1,PP,3,783.8036,41.3997
ST435,PP2,PP,3,758.1371,36.5121
ST435,PP3,PP,3,688.6242,33.4817
ST435,PP4,PP,3,851.3786,36.7578
ST435,PP5,PP,3,828.2511,9.5228
ST435,IA1,IA,4,595.0631,29.7241
ST435,IA2,IA,4,587.3722,28.6662
ST435,IA3,IA,4,659.6463,34.2126
ST435,IA4,IA,4,808.1882,43.2218
ST435,IA5,IA,4,770.3600,-3.3560
ST435,PP1,PP,4,996.6228,51.3784
ST435,PP2,PP,4,940.7805,49.3362
ST435,PP3,PP,4,813.5872,52.3235
ST435,PP4,PP,4,1064.8868,48.7475
ST435,PP5,PP,4,929.1246,8.1018
