STATION.,STATION,TREATMENT,REPLICATE,TIME,oxygen.corrected,SCOC,R2
ST177,3,C,C1,0,382.33,,
ST177,3,C,C1,1,389.97,,
ST177,3,C,C1,2,388.53,,
ST177,3,C,C1,3,358.57,,
ST177,3,C,C1,4,371.88,-0.662,0.398
ST177,3,C,C2,0,383.30,,
ST177,3,C,C2,1,377.21,,
ST177,3,C,C2,2,371.51,,
ST177,3,C,C2,3,364.82,,
ST177,3,C,C2,4,349.52,-1.077,0.947
ST177,3,C,C3,0,384.54,,
ST177,3,C,C3,1,370.8,,
ST177,3,C,C3,2,376.79,,
ST177,3,C,C3,3,370.47,,
ST177,3,C,C3,4,340.72,-1.158,0.699
ST177,3,C,C4,0,383.79,,
ST177,3,C,C4,1,370.66,,
ST177,3,C,C4,2,371.6,,
ST177,3,C,C4,3,349.73,,
ST177,3,C,C4,4,304.12,-2.229,0.820
ST177,3,C,C5,0,386.06,,
ST177,3,C,C5,1,368.78,,
ST177,3,C,C5,2,357.08,,
ST177,3,C,C5,3,325.67,,
ST177,3,C,C5,4,281.24,-3.378,0.936
ST177,3,IA,IA1,0,375.81,,
ST177,3,IA,IA1,1,352.38,,
ST177,3,IA,IA1,2,331.38,,
ST177,3,IA,IA1,3,298.43,,
ST177,3,IA,IA1,4,244.07,-3.968,0.958
ST177,3,IA,IA2,0,380.08,,
ST177,3,IA,IA2,1,358.17,,
ST177,3,IA,IA2,2,329.29,,
ST177,3,IA,IA2,3,285.12,,
ST177,3,IA,IA2,4,250.79,-4.278,0.986
ST177,3,IA,IA3,0,381.08,,
ST177,3,IA,IA3,1,361.24,,
ST177,3,IA,IA3,2,379.24,,
ST177,3,IA,IA3,3,329.08,,
ST177,3,IA,IA3,4,288.76,-2.898,0.769
ST177,3,IA,IA4,0,381.14,,
ST177,3,IA,IA4,1,357.74,,
ST177,3,IA,IA4,2,355.65,,
ST177,3,IA,IA4,3,308.02,,
ST177,3,IA,IA4,4,254.68,-3.571,0.899
ST177,3,IA,IA5,0,381.97,,
ST177,3,IA,IA5,1,356.14,,
ST177,3,IA,IA5,2,346.01,,
ST177,3,IA,IA5,3,304.09,,
ST177,3,IA,IA5,4,256.82,-3.971,0.946
ST177,3,PP,PP1,0,388.83,,
ST177,3,PP,PP1,1,379.07,,
ST177,3,PP,PP1,2,371.78,,
ST177,3,PP,PP1,3,345.61,,
ST177,3,PP,PP1,4,279.3,-3.283,0.817
ST177,3,PP,PP2,0,388.33,,
ST177,3,PP,PP2,1,369.39,,
ST177,3,PP,PP2,2,355.05,,
ST177,3,PP,PP2,3,314.21,,
ST177,3,PP,PP2,4,293.13,-3.414,0.972
ST177,3,PP,PP3,0,386.97,,
ST177,3,PP,PP3,1,366.09,,
ST177,3,PP,PP3,2,356.14,,
ST177,3,PP,PP3,3,310.61,,
ST177,3,PP,PP3,4,251.61,-5.056,0.913
ST177,3,PP,PP4,0,385.03,,
ST177,3,PP,PP4,1,375.03,,
ST177,3,PP,PP4,2,361.74,,
ST177,3,PP,PP4,3,317.47,,
ST177,3,PP,PP4,4,249.94,-4.610,0.872
ST177,3,PP,PP5,0,387.35,,
ST177,3,PP,PP5,1,366.01,,
ST177,3,PP,PP5,2,340.26,,
ST177,3,PP,PP5,3,288.1,,
ST177,3,PP,PP5,4,216.05,-5.859,0.936
ST407,2,C,C1,0,361.27,,
ST407,2,C,C1,1,365.99,,
ST407,2,C,C1,2,368.74,,
ST407,2,C,C1,3,364.15,,
ST407,2,C,C1,4,375.12,,
ST407,2,C,C2,0,366.52,,
ST407,2,C,C2,1,374.68,,
ST407,2,C,C2,2,368.74,,
ST407,2,C,C2,3,368.44,,
ST407,2,C,C2,4,375.51,,
ST407,2,C,C3,0,363.31,,
ST407,2,C,C3,1,364.27,,
ST407,2,C,C3,2,367.45,,
ST407,2,C,C3,3,369.30,,
ST407,2,C,C3,4,373.55,,
ST407,2,C,C4,0,365.51,,
ST407,2,C,C4,1,369.59,,
ST407,2,C,C4,2,375.40,,
ST407,2,C,C4,3,366.74,,
ST407,2,C,C4,4,368.23,,
ST407,2,C,C5,0,364.83,,
ST407,2,C,C5,1,364.72,,
ST407,2,C,C5,2,373.49,,
ST407,2,C,C5,3,354.50,,
ST407,2,C,C5,4,372.18,,
ST407,2,IA,IA1,0,366.41,,
ST407,2,IA,IA1,1,366.81,,
ST407,2,IA,IA1,2,368.99,,
ST407,2,IA,IA1,3,355.16,,
ST407,2,IA,IA1,4,370.87,,
ST407,2,IA,IA2,0,366.52,,
ST407,2,IA,IA2,1,361.97,,
ST407,2,IA,IA2,2,375.90,,
ST407,2,IA,IA2,3,368.82,,
ST407,2,IA,IA2,4,367.54,,
ST407,2,IA,IA3,0,369.94,,
ST407,2,IA,IA3,1,360.46,,
ST407,2,IA,IA3,2,373.87,,
ST407,2,IA,IA3,3,366.52,,
ST407,2,IA,IA3,4,364.28,,
ST407,2,IA,IA4,0,369.52,,
ST407,2,IA,IA4,1,372.00,,
ST407,2,IA,IA4,2,372.52,,
ST407,2,IA,IA4,3,364.62,,
ST407,2,IA,IA4,4,351.23,,
ST407,2,IA,IA5,0,367.03,,
ST407,2,IA,IA5,1,369.41,,
ST407,2,IA,IA5,2,362.64,,
ST407,2,IA,IA5,3,353.19,,
ST407,2,IA,IA5,4,371.65,,
ST407,2,PP,PP1,0,366.07,,
ST407,2,PP,PP1,1,363.58,,
ST407,2,PP,PP1,2,357.30,,
ST407,2,PP,PP1,3,347.67,,
ST407,2,PP,PP1,4,370.62,,
ST407,2,PP,PP2,0,362.18,,
ST407,2,PP,PP2,1,364.62,,
ST407,2,PP,PP2,2,358.96,,
ST407,2,PP,PP2,3,360.80,,
ST407,2,PP,PP2,4,354.67,,
ST407,2,PP,PP3,0,367.54,,
ST407,2,PP,PP3,1,361.46,,
ST407,2,PP,PP3,2,360.38,,
ST407,2,PP,PP3,3,347.35,,
ST407,2,PP,PP3,4,342.24,,
ST407,2,PP,PP4,0,368.25,,
ST407,2,PP,PP4,1,360.29,,
ST407,2,PP,PP4,2,356.81,,
ST407,2,PP,PP4,3,341.61,,
ST407,2,PP,PP4,4,336.90,,
ST407,2,PP,PP5,0,366.81,,
ST407,2,PP,PP5,1,354.75,,
ST407,2,PP,PP5,2,354.75,,
ST407,2,PP,PP5,3,363.82,,
ST407,2,PP,PP5,4,350.91,,
ST435,1,C,C1,0,375.67,,
ST435,1,C,C1,1,355.14,,
ST435,1,C,C1,2,359.18,,
ST435,1,C,C1,3,364.39,,
ST435,1,C,C1,4,351.46,-0.388,0.432
ST435,1,C,C2,0,376.86,,
ST435,1,C,C2,1,371.75,,
ST435,1,C,C2,2,356.03,,
ST435,1,C,C2,3,361.58,,
ST435,1,C,C2,4,342.21,-0.993,0.850
ST435,1,C,C3,0,377.27,,
ST435,1,C,C3,1,355.76,,
ST435,1,C,C3,2,346.16,,
ST435,1,C,C3,3,361.70,,
ST435,1,C,C3,4,324.33,-1.199,0.648
ST435,1,C,C4,0,378.52,,
ST435,1,C,C4,1,372.73,,
ST435,1,C,C4,2,364.86,,
ST435,1,C,C4,3,356.69,,
ST435,1,C,C4,4,341.70,-1.067,0.966
ST435,1,C,C5,0,377.65,,
ST435,1,C,C5,1,363.04,,
ST435,1,C,C5,2,354.42,,
ST435,1,C,C5,3,342.44,,
ST435,1,C,C5,4,315.14,-1.689,0.953
ST435,1,IA,IA1,0,377.08,,
ST435,1,IA,IA1,1,357.00,,
ST435,1,IA,IA1,2,361.70,,
ST435,1,IA,IA1,3,345.71,,
ST435,1,IA,IA1,4,363.57,-0.479,0.285
ST435,1,IA,IA2,0,373.42,,
ST435,1,IA,IA2,1,364.98,,
ST435,1,IA,IA2,2,360.34,,
ST435,1,IA,IA2,3,354.17,,
ST435,1,IA,IA2,4,366.46,-0.326,0.297
ST435,1,IA,IA3,0,377.86,,
ST435,1,IA,IA3,1,366.14,,
ST435,1,IA,IA3,2,355.30,,
ST435,1,IA,IA3,3,365.76,,
ST435,1,IA,IA3,4,343.33,-0.868,0.714
ST435,1,IA,IA4,0,377.03,,
ST435,1,IA,IA4,1,345.71,,
ST435,1,IA,IA4,2,341.11,,
ST435,1,IA,IA4,3,344.52,,
ST435,1,IA,IA4,4,319.50,-1.360,0.799
ST435,1,IA,IA5,0,383.81,,
ST435,1,IA,IA5,1,369.15,,
ST435,1,IA,IA5,2,365.18,,
ST435,1,IA,IA5,3,356.38,,
ST435,1,IA,IA5,4,333.53,-1.337,0.932
ST435,1,PP,PP1,0,373.83,,
ST435,1,PP,PP1,1,367.66,,
ST435,1,PP,PP1,2,338.34,,
ST435,1,PP,PP1,3,339.61,,
ST435,1,PP,PP1,4,310.72,-1.666,0.920
ST435,1,PP,PP2,0,371.38,,
ST435,1,PP,PP2,1,359.81,,
ST435,1,PP,PP2,2,335.97,,
ST435,1,PP,PP2,3,330.67,,
ST435,1,PP,PP2,4,335.41,-1.011,0.798
ST435,1,PP,PP3,0,376.00,,
ST435,1,PP,PP3,1,362.01,,
ST435,1,PP,PP3,2,367.99,,
ST435,1,PP,PP3,3,352.99,,
ST435,1,PP,PP3,4,322.39,-1.453,0.786
ST435,1,PP,PP4,0,373.58,,
ST435,1,PP,PP4,1,349.05,,
ST435,1,PP,PP4,2,356.77,,
ST435,1,PP,PP4,3,340.37,,
ST435,1,PP,PP4,4,308.18,-1.325,0.829
ST435,1,PP,PP5,0,372.02,,
ST435,1,PP,PP5,1,345.26,,
ST435,1,PP,PP5,2,337.44,,
ST435,1,PP,PP5,3,337.44,,
ST435,1,PP,PP5,4,313.13,-1.344,0.885
